squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti
LEC,Berisha M.,c,5.0,12,6.02,5.97,1.1,2.1,3.3,16.4,9.0,7.0,4.0,8.0,33.0
LEC,Gandelman,c,5.0,17,6.28,5.88,1.9,1.2,7.6,15.4,10.3,6.0,7.0,6.0,31.0
LEC,Siebert,d,4.0,19,5.75,5.79,0.7,0.4,0.5,18.7,15.1,6.0,8.0,5.0,29.0
LEC,Ngom,c,4.0,13,5.8,5.78,0.5,0.5,1.0,18.1,12.7,,,,
LEC,N'Dri,a,3.0,17,6.11,5.86,1.3,0.7,2.3,15.9,8.5,5.0,8.0,4.0,27.0
LEC,Jean,d,2.0,5,5.66,5.64,0.2,0.4,0.0,15.0,11.5,5.0,7.0,4.0,26.0
LEC,Maleh,c,2.0,21,5.83,5.82,0.8,0.7,0.9,16.4,12.4,,,,
LEC,Perez M.,d,1.0,1,5.35,5.72,0.3,0.5,1.0,8.1,2.8,4.0,4.0,4.0,20.0
LEC,Ndaba,d,1.0,9,5.67,5.64,0.3,0.4,0.5,10.0,7.5,5.0,8.0,4.0,26.0
LEC,Gorter,c,1.0,1,5.92,5.72,0.4,0.4,1.6,7.1,1.8,6.0,8.0,5.0,28.0
LEC,Kaba,c,1.0,11,5.85,5.64,0.7,0.5,0.9,11.8,7.7,4.0,6.0,3.0,23.0
LEC,Fofana Sa.,c,1.0,2,5.86,5.69,0.4,0.5,1.3,8.3,4.0,,,,
MIL,Pulisic,c,25.0,27,6.95,6.15,6.4,3.0,21.6,26.0,16.7,9.0,6.0,8.0,39.0
MIL,Rabiot,c,22.0,29,6.56,6.14,4.4,3.8,14.3,27.1,22.7,9.0,9.0,8.0,41.0
MIL,Leao,a,18.0,28,6.91,6.09,7.0,5.1,21.3,25.3,18.6,6.0,6.0,5.0,29.0
MIL,Maignan,p,15.0,37,5.06,6.1,0.2,0.3,-30.7,29.7,28.0,9.0,9.0,8.0,43.0
MIL,Pavlovic,d,14.0,34,6.2,6.02,3.4,0.8,6.8,27.8,29.1,9.0,9.0,8.0,42.0
MIL,Nkunku,a,13.0,26,6.58,5.93,4.7,1.9,13.3,21.8,12.5,6.0,6.0,6.0,31.0
MIL,Gila,d,12.0,31,6.03,5.94,1.1,0.5,1.8,24.7,18.2,9.0,8.0,7.0,35.0
MIL,Modric,c,12.0,33,6.18,6.08,2.3,2.7,6.4,28.2,23.6,6.0,9.0,6.0,36.0
MIL,Saelemaekers,c,10.0,35,6.31,6.09,2.8,3.5,8.9,28.7,24.3,9.0,8.0,7.0,37.0
MIL,Bartesaghi,d,8.0,31,5.95,5.92,0.9,2.4,1.9,24.5,22.2,6.0,8.0,6.0,32.0
MIL,Gabbia,d,7.0,29,5.89,5.88,1.0,0.6,0.4,24.0,22.5,7.0,8.0,5.0,31.0
MIL,Tomori,d,7.0,32,5.9,5.94,0.8,0.5,0.4,27.8,24.2,6.0,9.0,5.0,31.0
MIL,Chukwueze,c,6.0,1,6.36,5.91,2.2,1.1,4.3,18.9,10.6,6.0,8.0,6.0,33.0
MIL,Gimenez,a,6.0,15,6.36,5.9,3.9,1.0,7.2,17.8,10.5,4.0,5.0,4.0,21.0
MIL,Fofana Y.,c,5.0,33,6.18,5.95,1.6,2.0,6.8,18.8,14.5,6.0,8.0,5.0,30.0
MIL,Camarda,a,5.0,18,6.0,5.87,1.1,0.6,2.0,11.0,4.8,5.0,7.0,5.0,26.0
MIL,Ricci S.,c,4.0,28,6.05,5.97,1.3,1.4,2.3,21.2,15.0,5.0,8.0,4.0,28.0
MIL,Jashari,c,4.0,12,6.02,5.87,0.6,1.3,2.5,16.0,9.9,6.0,8.0,6.0,30.0
