stagione,giornata,squadra,forma3_punti_mean,forma3_gf_mean,forma3_gs_mean,forma3_xg_for_mean,forma3_xg_against_mean,forma3_n_partite,forma5_punti_mean,forma5_gf_mean,forma5_gs_mean,forma5_xg_for_mean,forma5_xg_against_mean,forma5_n_partite
2015-16,7,Sampdoria,1.0,1.0,1.6666666666666667,0.5895722347001234,2.055771748845776,3,1.4,1.4,1.4,0.8877744635567069,1.6311874071136117,5
2015-16,7,Carpi,0.3333333333333333,0.3333333333333333,2.0,1.2879194635897875,1.804368870643278,3,0.4,0.8,2.0,1.1284086154773831,2.0126847309991716,5
2015-16,7,Juventus,1.3333333333333333,1.3333333333333333,1.0,1.6171114674458902,0.5375678607573112,3,1.0,1.2,1.2,1.7557131234556436,0.6439370792359114,5
2015-16,7,Empoli,1.0,0.6666666666666666,1.3333333333333333,0.8382420854953428,1.15700577168415,3,0.8,1.0,1.6,0.9655541867949069,1.1110679619945585,5
2015-16,7,Frosinone,1.3333333333333333,1.0,0.6666666666666666,1.2675589251642425,1.4340754393488169,3,0.8,0.6,1.2,1.0011404807679356,1.8733506668359041,5
2015-16,7,Napoli,2.3333333333333335,2.3333333333333335,0.3333333333333333,1.5501704989001155,0.6715247665221492,3,1.8,2.2,1.0,1.4818386915139854,0.9338607970625162,5
2015-16,7,Torino,2.0,1.3333333333333333,0.6666666666666666,1.137363761663437,0.5355781003211936,3,2.0,1.8,1.0,1.0023506665602326,0.8328859834000468,5
2015-16,7,Inter,2.0,1.0,1.3333333333333333,1.2141377885515492,1.4318089680746198,3,2.4,1.2,1.0,1.7664882857352495,1.1974186023697257,5
2015-16,7,Atalanta,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.2142840533827741,0.7539298580959439,3,2.2,1.6,0.8,1.6246482444927097,0.872096055559814,5
2015-16,7,Lazio,2.0,1.3333333333333333,2.0,1.3557565584778786,1.5508838143820565,3,1.8,1.2,2.0,1.2576237629167735,1.3796849023550748,5
2015-16,7,Palermo,0.0,1.0,2.0,0.7296744200090567,0.8699156421547135,3,0.8,1.2,1.6,0.8600132301449775,1.2195531796663999,5
2015-16,7,Udinese,1.0,1.6666666666666667,2.0,1.3341169329360127,0.9858926497399807,3,0.6,1.0,1.8,1.4380779122933744,1.018664308451116,5
2015-16,7,Milan,2.0,2.0,1.6666666666666667,0.9654918741434813,1.0246209170048435,3,1.8,1.6,1.4,0.954612291790545,1.1904088865965605,5
2015-16,7,Fiorentina,3.0,2.3333333333333335,0.3333333333333333,1.7510019689798355,1.0807520616799593,3,2.4,1.8,0.8,1.374278422817588,0.9014068562537432,5
2015-16,7,Genoa,1.0,0.3333333333333333,1.3333333333333333,0.46161333564668894,1.313169674637417,3,1.2,0.6,1.0,0.806768248975277,1.028088765591383,5
2015-16,8,Sassuolo,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.620695469280084,0.6312980052704612,3,1.2,1.2,1.2,0.8074811639264226,0.9776935681700707,5
2015-16,8,Verona,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.9613620086262623,1.5977961948762338,3,0.6,1.0,1.4,1.0522685654461383,1.333234123699367,5
2015-16,8,Chievo,1.6666666666666667,1.0,0.6666666666666666,0.8992596007883549,0.699674105271697,3,1.2,0.8,0.8,0.8438066804781557,1.2843147229403258,5
2015-16,8,Roma,2.0,3.3333333333333335,1.6666666666666667,2.4336990850667157,1.1544434558600187,3,2.0,2.8,1.4,2.1759618068113924,0.9485969408415258,5
2015-16,8,Bologna,0.0,0.6666666666666666,2.3333333333333335,0.689986384473741,2.335179628493885,3,0.6,0.6,1.8,0.70710295913741,1.9609112491831184,5
2015-16,8,Sampdoria,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.1975215931112568,1.7994817119712632,3,1.4,1.2,1.2,1.1400539157912135,1.6688244657590985,5
2015-16,8,Carpi,1.3333333333333333,1.0,2.0,1.0822221239407857,2.0637363999461136,3,1.0,1.0,1.8,1.1312209770083428,1.589311652071774,5
2015-16,8,Juventus,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.028955834917724,0.4564817287027836,3,1.6,1.6,1.0,2.243847060389817,0.4775139782577753,5
2015-16,8,Empoli,1.0,0.3333333333333333,1.0,0.8878404481026033,0.9256973437344035,3,1.4,1.0,1.2,0.9291423075832427,0.960477597732097,5
2015-16,8,Frosinone,1.3333333333333333,1.0,1.0,1.0173237410684426,2.302962338707099,3,0.8,0.6,1.2,0.9816362609155476,2.003949027322233,5
2015-16,8,Napoli,2.3333333333333335,2.0,0.3333333333333333,1.2283114166930318,0.4741302666564782,3,2.2,2.6,0.6,1.4996687327511609,0.7377611158415676,5
2015-16,8,Torino,1.0,1.0,1.3333333333333333,0.6479413919150829,0.5628251371284326,3,1.4,1.4,1.2,1.1154475620016455,0.8207743221893906,5
2015-16,8,Inter,1.3333333333333333,1.0,1.6666666666666667,1.3955608506997426,2.010640657196442,3,2.0,1.0,1.0,1.4829946065321564,1.548652356863022,5
2015-16,8,Atalanta,2.0,1.0,1.3333333333333333,1.0667538198952873,1.5809480625515182,3,1.6,1.2,1.4,1.089294315315783,1.3530534770339728,5
2015-16,8,Lazio,3.0,2.0,0.3333333333333333,2.301228938934704,0.8705241670832038,3,2.4,1.6,1.2,1.844025656580925,1.2007767252624035,5
2015-16,8,Palermo,0.0,1.0,2.3333333333333335,0.7035021105160316,1.1152122107644875,3,0.2,1.4,2.4,0.9559319231659174,1.1112840285524725,5
2015-16,8,Udinese,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.4585715672001243,1.2305779174591105,3,0.8,1.2,1.8,1.1959824740886689,1.144790126569569,5
2015-16,8,Milan,1.0,1.0,2.3333333333333335,0.6594166345894337,1.1795076755806804,3,1.2,1.2,2.0,0.8204829670488835,1.3494774661958218,5
2015-16,8,Fiorentina,3.0,3.0,0.3333333333333333,2.6860923059284687,0.7414048854261637,3,3.0,2.2,0.2,1.8344015825539828,0.8675127133727074,5
2015-16,8,Genoa,1.3333333333333333,0.6666666666666666,1.0,0.8081946729992827,1.041918106066684,3,0.8,0.4,1.2,0.6846645826473832,1.1965064423158764,5
2015-16,9,Sassuolo,1.3333333333333333,1.0,1.0,0.9826782078792652,0.7182155723373095,3,1.6,1.2,1.0,0.9187872681766749,0.856645142659545,5
2015-16,9,Verona,0.6666666666666666,1.0,1.3333333333333333,1.249382379775246,1.5976782874204218,3,0.6,0.8,1.2,0.9498739648610354,1.3108971702866257,5
2015-16,9,Chievo,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.4710109469791253,1.0658093402162194,3,1.0,1.0,1.2,1.1452756609767676,0.9435912219807505,5
2015-16,9,Roma,3.0,4.0,1.3333333333333333,2.4807987548410892,1.2761757547656696,3,2.0,3.0,1.6,2.1135905729606748,0.9858943339437246,5
2015-16,9,Bologna,0.0,0.6666666666666666,2.0,1.1607674822832148,2.3408871606613197,3,0.6,0.6,1.6,0.999229556042701,2.032124786451459,5
2015-16,9,Sampdoria,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.6137685275947053,1.724820885186394,3,0.8,0.8,1.6,1.1654986344277858,1.8624574296176433,5
2015-16,9,Carpi,1.0,1.0,3.0,1.304876001862188,2.4213232457016907,3,0.8,0.6,2.0,1.1548350235447287,1.773171503469348,5
2015-16,9,Juventus,1.3333333333333333,1.3333333333333333,1.0,1.6649375998725493,0.4013615573445956,3,1.6,1.4,0.8,1.8332845585420727,0.42244125679135325,5
2015-16,9,Empoli,1.0,0.6666666666666666,1.6666666666666667,0.8325019908758501,1.2274075088401635,3,1.2,0.8,1.4,0.7809634304605424,1.0731548251584173,5
